seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1335764	1335874	111	*	X0012	81669	1321091	1334718	13628	-	1045	upstream	1045	CCNL2
chr1	11900429	11900544	116	*	X0084	100379251	11900376	11907674	7299	+	0	inside	52	NPPA-AS1
chr1	26880086	26880220	135	*	X0207	100302190	26881033	26881084	52	+	812	upstream	812	MIR1976
chr1	43738138	43738245	108	*	X0348	10969	43629845	43736607	106763	-	1530	upstream	1530	EBNA1BP2
chr1	44170772	44170804	33	*	X0372	6487	44171495	44396837	225343	+	690	upstream	690	ST3GAL3
chr1	153745664	153745783	120	*	X0562	11000	153747768	153752633	4866	+	1984	upstream	1984	SLC27A3
chr1	153920621	153920626	6	*	X0564	9909	153901977	153919154	17178	-	1466	upstream	1466	DENND4B
chr1	154935897	154935972	76	*	X0585	90780	154929502	154934258	4757	-	1638	upstream	1638	PYGO2
chr1	155289489	155289608	120	*	X0604	23623	155290640	155300909	10270	+	1031	upstream	1031	RUSC1
chr1	159897133	159897166	34	*	X0657	8407	159887897	159895332	7436	-	1800	upstream	1800	TAGLN2
chr1	209605514	209605565	52	*	X0772	406988	209605478	209605587	110	+	0	inside	35	MIR205
chr1	228284747	228284801	55	*	X0821	100500810	228284964	228285042	79	+	162	upstream	162	MIR3620
chr10	91352728	91352763	36	*	X1001	406901	91352504	91352584	81	-	143	upstream	143	MIR107
chr10	102748431	102748465	35	*	X1028	84545	102737579	102747272	9694	-	1158	upstream	1158	MRPL43
chr10	105978918	105978938	21	*	X1061	693194	105978547	105978641	95	-	276	upstream	276	MIR609
chr10	126722854	126722908	55	*	X1092	100423041	126721352	126721439	88	-	1414	upstream	1414	MIR4296
chr11	6504510	6504614	105	*	X1157	23647	6495913	6502709	6797	-	1800	upstream	1800	ARFIP2
chr11	46397740	46397851	112	*	X1197	100616368	46397952	46398034	83	+	100	upstream	100	MIR4688
chr11	57093932	57094002	71	*	X1231	85456	57067103	57092413	25311	-	1518	upstream	1518	TNKS1BP1
chr11	57094061	57094156	96	*	X1232	85456	57067103	57092413	25311	-	1647	upstream	1647	TNKS1BP1
chr11	63973196	63973315	120	*	X1311	83706	63974152	63991363	17212	+	836	upstream	836	FERMT3
chr11	64886338	64886442	105	*	X1335	741	64883875	64885170	1296	-	1167	upstream	1167	ZNHIT2
chr11	64887703	64887807	105	*	X1336	740	64889655	64894841	5187	+	1847	upstream	1847	MRPL49
chr11	66043948	66044068	121	*	X1404	254263	66045672	66051685	6014	+	1603	upstream	1603	CNIH2
chr11	66276792	66276881	90	*	X1415	582	66276550	66301084	24535	+	0	inside	241	BBS1
chr11	67800673	67800792	120	*	X1446	100616403	67801364	67801448	85	+	571	upstream	571	MIR4691
chr11	118887256	118887390	135	*	X1564	51399	118889241	118894385	5145	+	1850	upstream	1850	TRAPPC4
chr11	133715053	133715151	99	*	X1600	219938	133710517	133715392	4876	-	0	inside	240	SPATA19
chr12	6692347	6692415	69	*	X1659	677780	6690639	6690775	137	-	1571	upstream	1571	SCARNA11
chr12	7050349	7050360	12	*	X1685	113246	7052141	7055165	3025	+	1780	upstream	1780	C12orf57
chr12	7077195	7077299	105	*	X1687	677777	7076500	7076769	270	-	425	upstream	425	SCARNA12
chr12	53344014	53344033	20	*	X1804	3856	53290971	53343650	52680	-	363	upstream	363	KRT8
chr12	56361637	56361666	30	*	X1837	6490	56347889	56360496	12608	-	1140	upstream	1140	PMEL
chr12	58164497	58164597	101	*	X1932	25895	58166383	58176324	9942	+	1785	upstream	1785	EEF1AKMT3
chr12	58219622	58219741	120	*	X1934	407016	58218392	58218475	84	-	1146	upstream	1146	MIR26A2
